文字,超連結
LCS 01. 下载插件,https://leetcode.cn/problems/Ju9Xwi/
3091. 执行操作使数据元素之和大于等于 K,https://leetcode.cn/problems/apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k/
397. 整数替换,https://leetcode.cn/problems/integer-replacement/
628. 三个数的最大乘积,https://leetcode.cn/problems/maximum-product-of-three-numbers/
1567. 乘积为正数的最长子数组长度,https://leetcode.cn/problems/maximum-length-of-subarray-with-positive-product/
2285. 道路的最大总重要性,https://leetcode.cn/problems/maximum-total-importance-of-roads/
3016. 输入单词需要的最少按键次数 II,https://leetcode.cn/problems/minimum-number-of-pushes-to-type-word-ii/
1402. 做菜顺序,https://leetcode.cn/problems/reducing-dishes/
2931. 购买物品的最大开销,https://leetcode.cn/problems/maximum-spending-after-buying-items/
1589. 所有排列中的最大和,https://leetcode.cn/problems/maximum-sum-obtained-of-any-permutation/
1874. 两个数组的最小乘积和,https://leetcode.cn/problems/minimize-product-sum-of-two-arrays/
2268. 最少按键次数,https://leetcode.cn/problems/minimum-number-of-keypresses/
3081. 替换字符串中的问号使分数最小,https://leetcode.cn/problems/replace-question-marks-in-string-to-minimize-its-value/
1969. 数组元素的最小非零乘积,https://leetcode.cn/problems/minimum-non-zero-product-of-the-array-elements/
2939. 最大异或乘积,https://leetcode.cn/problems/maximum-xor-product/
2897. 对数组执行操作使平方和最大,https://leetcode.cn/problems/apply-operations-on-array-to-maximize-sum-of-squares/
462. 最小操作次数使数组元素相等 II,https://leetcode.cn/problems/minimum-moves-to-equal-array-elements-ii/
2033. 获取单值网格的最小操作数,https://leetcode.cn/problems/minimum-operations-to-make-a-uni-value-grid/
2448. 使数组相等的最小开销,https://leetcode.cn/problems/minimum-cost-to-make-array-equal/
2607. 使子数组元素和相等,https://leetcode.cn/problems/make-k-subarray-sums-equal/
2967. 使数组成为等数数组的最小代价,https://leetcode.cn/problems/minimum-cost-to-make-array-equalindromic/
1478. 安排邮筒,https://leetcode.cn/problems/allocate-mailboxes/
2968. 执行操作使频率分数最大,https://leetcode.cn/problems/apply-operations-to-maximize-frequency-score/
1703. 得到连续 K 个 1 的最少相邻交换次数,https://leetcode.cn/problems/minimum-adjacent-swaps-for-k-consecutive-ones/
3086. 拾起 K 个 1 需要的最少行动次数,https://leetcode.cn/problems/minimum-moves-to-pick-k-ones/
LCP 24. 数字游戏,https://leetcode.cn/problems/5TxKeK/
3441. 变成好标题的最少代价,https://leetcode.cn/problems/minimum-cost-good-caption/
296. 最佳的碰头地点,https://leetcode.cn/problems/best-meeting-point/
2952. 需要添加的硬币的最小数量,https://leetcode.cn/problems/minimum-number-of-coins-to-be-added/
330. 按要求补齐数组,https://leetcode.cn/problems/patching-array/
1798. 你能构造出连续值的最大数目,https://leetcode.cn/problems/maximum-number-of-consecutive-values-you-can-make/
1414. 和为 K 的最少斐波那契数字数目,https://leetcode.cn/problems/find-the-minimum-number-of-fibonacci-numbers-whose-sum-is-k/
3107. 使数组中位数等于 K 的最少操作数,https://leetcode.cn/problems/minimum-operations-to-make-median-of-array-equal-to-k/
754. 到达终点数字,https://leetcode.cn/problems/reach-a-number/
1058. 最小化舍入误差以满足目标,https://leetcode.cn/problems/minimize-rounding-error-to-meet-target/
2745. 构造最长的新字符串,https://leetcode.cn/problems/construct-the-longest-new-string/
2611. 老鼠和奶酪,https://leetcode.cn/problems/mice-and-cheese/
1029. 两地调度,https://leetcode.cn/problems/two-city-scheduling/
2645. 构造有效字符串的最少插入数,https://leetcode.cn/problems/minimum-additions-to-make-valid-string/
2202. K 次操作后最大化顶端元素,https://leetcode.cn/problems/maximize-the-topmost-element-after-k-moves/
2568. 最小无法得到的或值,https://leetcode.cn/problems/minimum-impossible-or/
1702. 修改后的最大二进制字符串,https://leetcode.cn/problems/maximum-binary-string-after-change/
3012. 通过操作使数组长度最小,https://leetcode.cn/problems/minimize-length-of-array-using-operations/
1526. 形成目标数组的子数组最少增加次数,https://leetcode.cn/problems/minimum-number-of-increments-on-subarrays-to-form-a-target-array/
2350. 不可能得到的最短骰子序列,https://leetcode.cn/problems/shortest-impossible-sequence-of-rolls/
517. 超级洗衣机,https://leetcode.cn/problems/super-washing-machines/
2499. 让数组不相等的最小总代价,https://leetcode.cn/problems/minimum-total-cost-to-make-arrays-unequal/
3357. 最小化相邻元素的最大差值,https://leetcode.cn/problems/minimize-the-maximum-adjacent-element-difference/
3431. 对数字排序的最小解锁下标,https://leetcode.cn/problems/minimum-unlocked-indices-to-sort-nums/
2733. 既不是最小值也不是最大值,https://leetcode.cn/problems/neither-minimum-nor-maximum/
3432. 统计元素和差值为偶数的分区方案,https://leetcode.cn/problems/count-partitions-with-even-sum-difference/
1903. 字符串中的最大奇数,https://leetcode.cn/problems/largest-odd-number-in-string/
2549. 统计桌面上的不同数字,https://leetcode.cn/problems/count-distinct-numbers-on-board/
2396. 严格回文的数字,https://leetcode.cn/problems/strictly-palindromic-number/
1689. 十-二进制数的最少数目,https://leetcode.cn/problems/partitioning-into-minimum-number-of-deci-binary-numbers/
598. 区间加法 II,https://leetcode.cn/problems/range-addition-ii/
521. 最长特殊序列 Ⅰ,https://leetcode.cn/problems/longest-uncommon-subsequence-i/
3227. 字符串元音游戏,https://leetcode.cn/problems/vowels-game-in-a-string/
2419. 按位与最大的最长子数组,https://leetcode.cn/problems/longest-subarray-with-maximum-bitwise-and/
3424. 将数组变相同的最小代价,https://leetcode.cn/problems/minimum-cost-to-make-arrays-identical/
1992. 找到所有的农场组,https://leetcode.cn/problems/find-all-groups-of-farmland/
1007. 行相等的最少多米诺旋转,https://leetcode.cn/problems/minimum-domino-rotations-for-equal-row/
2811. 判断是否能拆分数组,https://leetcode.cn/problems/check-if-it-is-possible-to-split-array/
2211. 统计道路上的碰撞次数,https://leetcode.cn/problems/count-collisions-on-a-road/
3207. 与敌人战斗后的最大分数,https://leetcode.cn/problems/maximum-points-after-enemy-battles/
3471. 找出最大的几近缺失整数,https://leetcode.cn/problems/find-the-largest-almost-missing-integer/
2546. 执行逐位运算使字符串相等,https://leetcode.cn/problems/apply-bitwise-operations-to-make-strings-equal/
1503. 所有蚂蚁掉下来前的最后一刻,https://leetcode.cn/problems/last-moment-before-all-ants-fall-out-of-a-plank/
2860. 让所有学生保持开心的分组方法数,https://leetcode.cn/problems/happy-students/
1332. 删除回文子序列,https://leetcode.cn/problems/remove-palindromic-subsequences/
1975. 最大方阵和,https://leetcode.cn/problems/maximum-matrix-sum/
1145. 二叉树着色游戏,https://leetcode.cn/problems/binary-tree-coloring-game/
1297. 子串的最大出现次数,https://leetcode.cn/problems/maximum-number-of-occurrences-of-a-substring/
3282. 到达数组末尾的最大得分,https://leetcode.cn/problems/reach-end-of-array-with-max-score/
2712. 使所有字符相等的最小成本,https://leetcode.cn/problems/minimum-cost-to-make-all-characters-equal/
3148. 矩阵中的最大得分,https://leetcode.cn/problems/maximum-difference-score-in-a-grid/
2332. 坐上公交的最晚时间,https://leetcode.cn/problems/the-latest-time-to-catch-a-bus/
2680. 最大或值,https://leetcode.cn/problems/maximum-or/
2731. 移动机器人,https://leetcode.cn/problems/movement-of-robots/
2556. 二进制矩阵中翻转最多一次使路径不连通,https://leetcode.cn/problems/disconnect-path-in-a-binary-matrix-by-at-most-one-flip/
3125. 使得按位与结果为 0 的最大数字,https://leetcode.cn/problems/maximum-number-that-makes-result-of-bitwise-and-zero/
1794. 统计距离最小的子串对个数,https://leetcode.cn/problems/count-pairs-of-equal-substrings-with-minimum-difference/
2139. 得到目标值的最少行动次数,https://leetcode.cn/problems/minimum-moves-to-reach-target-score/
1558. 得到目标数组的最少函数调用次数,https://leetcode.cn/problems/minimum-numbers-of-function-calls-to-make-target-array/
554. 砖墙,https://leetcode.cn/problems/brick-wall/
2718. 查询后矩阵的和,https://leetcode.cn/problems/sum-of-matrix-after-queries/
417. 太平洋大西洋水流问题,https://leetcode.cn/problems/pacific-atlantic-water-flow/
991. 坏了的计算器,https://leetcode.cn/problems/broken-calculator/
2227. 加密解密字符串,https://leetcode.cn/problems/encrypt-and-decrypt-strings/
3419. 图的最大边权的最小值,https://leetcode.cn/problems/minimize-the-maximum-edge-weight-of-graph/
936. 戳印序列,https://leetcode.cn/problems/stamping-the-sequence/
3375. 使数组的值全部为 K 的最少操作次数,https://leetcode.cn/problems/minimum-operations-to-make-array-values-equal-to-k/
2914. 使二进制字符串变美丽的最少修改次数,https://leetcode.cn/problems/minimum-number-of-changes-to-make-binary-string-beautiful/
3365. 重排子字符串以形成目标字符串,https://leetcode.cn/problems/rearrange-k-substrings-to-form-target-string/
